start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(0, 1, 1)","(1, 0, 0)",2,0,0,0,011_0,100_0,2.015205047318612,0.8993376335659277,0.8841325862473157,0.6512440418224545
"(0, 1, 1)","(0, 0, 0)",3,0,0,0,011_0,000_0,2.015205047318612,0.511700948051228,1.496495900732616,1.0
"(0, 1, 1)","(0, 0, 1)",2,0,0,0,011_0,001_0,2.015205047318612,1.4159075573549258,1.4007025100363137,0.9454433096021677
"(0, 1, 1)","(1, 0, 1)",1,0,0,0,011_0,101_0,2.015205047318612,1.8052961494179354,0.7900911020993233,0.597685105261994
"(0, 1, 1)","(1, 1, 0)",1,0,0,0,011_0,110_0,2.015205047318612,1.49641124219077,0.481206194872158,0.4217675588669474
"(0, 1, 1)","(1, 0, 1)",0,1,0,1,011_0,101_1,2.015205047318612,1.1892578655390464,-0.8259471817795656,-0.322688416165386
"(0, 1, 1)","(0, 1, 0)",1,1,0,1,011_0,010_1,2.015205047318612,0.6970606098301637,-0.31814443748844834,-0.03348227258820258
"(0, 1, 1)","(1, 0, 0)",0,2,0,2,011_0,100_2,2.015205047318612,0.23259963183813465,-1.7826054154804774,-0.8675287928676201
"(0, 1, 1)","(1, 1, 0)",0,1,0,1,011_0,110_1,2.015205047318612,0.9310801971130783,-1.0841248502055336,-0.4697269437878706
"(0, 1, 1)","(0, 1, 1)",1,0,0,0,011_0,011_0,2.015205047318612,2.015205047318612,1.0,0.7172333817273708
"(0, 1, 1)","(0, 0, 0)",2,1,0,1,011_0,000_1,2.015205047318612,0.27356140384652405,0.2583563565279121,0.29484909875837073
"(0, 1, 1)","(0, 0, 0)",1,2,0,2,011_0,000_2,2.015205047318612,0.10514160279015194,-0.9100634445284601,-0.37059469519838495
"(0, 1, 1)","(0, 1, 0)",0,2,0,2,011_0,010_2,2.015205047318612,0.33039304411579395,-1.684812003202818,-0.81183304102296
"(0, 1, 1)","(0, 0, 1)",0,2,0,2,011_0,001_2,2.015205047318612,0.3720836162436255,-1.6431214310749866,-0.788089235531227
"(0, 1, 1)","(1, 0, 0)",1,1,0,1,011_0,100_1,2.015205047318612,0.5365059395025369,-0.47869910781607516,-0.12492210342956422
"(0, 1, 1)","(1, 1, 1)",0,0,0,0,011_0,111_0,2.015205047318612,2.3188014033473285,0.3035963560287165,0.3206143903763312
"(0, 1, 1)","(0, 0, 0)",0,3,0,3,011_0,000_3,2.015205047318612,0.0,-2.015205047318612,-1.0
"(1, 0, 0)","(1, 0, 1)",0,0,0,0,100_0,101_0,0.8993376335659277,1.8052961494179354,0.9059585158520077,0.4129338218695304
"(1, 0, 0)","(1, 0, 0)",0,1,0,1,100_0,100_1,0.8993376335659277,0.5365059395025369,-0.3628316940633908,-0.641509495652526
"(1, 0, 0)","(1, 1, 0)",0,0,0,0,100_0,110_0,0.8993376335659277,1.49641124219077,0.5970736086248424,0.1562313159991373
"(1, 0, 0)","(0, 0, 0)",0,2,0,2,100_0,000_2,0.8993376335659277,0.10514160279015194,-0.7941960307757757,-1.0
"(1, 0, 0)","(0, 0, 0)",2,0,0,0,100_0,000_0,0.8993376335659277,0.511700948051228,1.6123633144853002,1.0
"(1, 0, 0)","(0, 1, 0)",0,1,0,1,100_0,010_1,0.8993376335659277,0.6970606098301637,-0.20227702373576395,-0.5080786117279004
"(1, 0, 0)","(0, 0, 1)",0,1,0,1,100_0,001_1,0.8993376335659277,0.9719785520382295,0.07264091847230181,-0.27960475942134844
"(1, 0, 0)","(0, 1, 1)",0,0,0,0,100_0,011_0,0.8993376335659277,2.015205047318612,1.1158674137526843,0.5873811284061614
"(1, 0, 0)","(0, 1, 0)",1,0,0,0,100_0,010_0,0.8993376335659277,1.1446674094298273,1.2453297758638997,0.6949723767717162
"(1, 0, 0)","(0, 0, 1)",1,0,0,0,100_0,001_0,0.8993376335659277,1.4159075573549258,1.5165699237889982,0.9203897540404018
"(1, 0, 0)","(0, 0, 0)",1,1,0,1,100_0,000_1,0.8993376335659277,0.27356140384652405,0.3742237702805964,-0.028970714262925523
"(1, 0, 0)","(1, 0, 0)",1,0,0,0,100_0,100_0,0.8993376335659277,0.8993376335659277,1.0,0.49108812488572307
"(1, 0, 1)","(1, 1, 1)",0,0,0,0,101_0,111_0,1.8052961494179354,2.3188014033473285,0.5135052539293932,0.3206143903763312
"(1, 0, 1)","(1, 0, 1)",0,1,0,1,101_0,101_1,1.8052961494179354,1.1892578655390464,-0.6160382838788889,-0.322688416165386
"(1, 0, 1)","(1, 1, 0)",1,0,0,0,101_0,110_0,1.8052961494179354,1.49641124219077,0.6911150927728347,0.4217675588669474
"(1, 0, 1)","(1, 0, 1)",1,0,0,0,101_0,101_0,1.8052961494179354,1.8052961494179354,1.0,0.597685105261994
"(1, 0, 1)","(0, 0, 0)",3,0,0,0,101_0,000_0,1.8052961494179354,0.511700948051228,1.7064047986332926,1.0
"(1, 0, 1)","(0, 1, 1)",1,0,0,0,101_0,011_0,1.8052961494179354,2.015205047318612,1.2099088979006767,0.7172333817273708
"(1, 0, 1)","(0, 1, 0)",1,1,0,1,101_0,010_1,1.8052961494179354,0.6970606098301637,-0.10823553958777166,-0.03348227258820258
