start_base,end_base,runs_scored,outs,start_outs,end_outs,start_state,end_state,re_before,re_after,value,norm_value
"(1, 1, 1)","(0, 1, 1)",0,1,0,1,111_0,011_1,2.3188014033473285,1.4130642866382097,-0.9057371167091188,-0.28000720870476314
"(1, 1, 1)","(1, 0, 0)",1,1,0,1,111_0,100_1,2.3188014033473285,0.5365059395025369,-0.7822954638447916,-0.20471727956839536
"(1, 1, 1)","(1, 0, 1)",1,0,0,0,111_0,101_0,2.3188014033473285,1.8052961494179354,0.48649474607060683,0.5691473178089588
"(1, 1, 1)","(0, 1, 0)",1,1,0,1,111_0,010_1,2.3188014033473285,0.6970606098301637,-0.6217407935171648,-0.10679125969594738
"(1, 1, 1)","(0, 1, 0)",2,0,0,0,111_0,010_0,2.3188014033473285,1.1446674094298273,0.8258660060824987,0.7761377260247186
"(1, 1, 1)","(1, 0, 1)",0,1,0,1,111_0,101_1,2.3188014033473285,1.1892578655390464,-1.129543537808282,-0.4165119394324057
"(1, 1, 1)","(1, 1, 1)",0,0,0,0,111_0,111_0,2.3188014033473285,2.3188014033473285,0.0,0.27242288074128007
"(1, 1, 1)","(0, 0, 1)",2,0,0,0,111_0,001_0,2.3188014033473285,1.4159075573549258,1.0971061540075973,0.9415733876701742
"(1, 1, 1)","(0, 0, 0)",3,0,0,0,111_0,000_0,2.3188014033473285,0.511700948051228,1.1928995447038995,1.0
"(1, 1, 1)","(0, 0, 1)",1,1,0,1,111_0,001_1,2.3188014033473285,0.9719785520382295,-0.3468228513090992,0.06088757404350997
"(1, 1, 1)","(1, 0, 0)",0,2,0,2,111_0,100_2,2.3188014033473285,0.23259963183813465,-2.086201771509194,-1.0
"(0, 0, 0)","(0, 0, 0)",0,0,1,1,000_1,000_1,0.27356140384652405,0.27356140384652405,0.0,
"(0, 0, 1)","(0, 0, 0)",1,0,1,1,001_1,000_1,0.9719785520382295,0.27356140384652405,0.3015828518082946,1.0
"(0, 0, 1)","(0, 0, 0)",0,1,1,2,001_1,000_2,0.9719785520382295,0.10514160279015194,-0.8668369492480775,-1.0
"(0, 0, 1)","(0, 0, 1)",0,0,1,1,001_1,001_1,0.9719785520382295,0.9719785520382295,0.0,0.4837765475462972
"(0, 1, 0)","(0, 0, 0)",0,1,1,2,010_1,000_2,0.6970606098301637,0.10514160279015194,-0.5919190070400118,-1.0
"(0, 1, 0)","(0, 0, 1)",0,0,1,1,010_1,001_1,0.6970606098301637,0.9719785520382295,0.27491794220806576,0.4837765475462972
"(0, 1, 0)","(0, 0, 0)",1,0,1,1,010_1,000_1,0.6970606098301637,0.27356140384652405,0.5765007940163603,1.0
"(0, 1, 0)","(0, 1, 0)",0,0,1,1,010_1,010_1,0.6970606098301637,0.6970606098301637,0.0,0.013195782038024184
"(0, 1, 1)","(0, 0, 1)",1,0,1,1,011_1,001_1,1.4130642866382097,0.9719785520382295,0.5589142654000198,0.689596786302052
"(0, 1, 1)","(0, 0, 0)",2,0,1,1,011_1,000_1,1.4130642866382097,0.27356140384652405,0.8604971172083142,1.0
"(0, 1, 1)","(0, 1, 0)",0,1,1,2,011_1,010_2,1.4130642866382097,0.33039304411579395,-1.0826712425224159,-1.0
"(0, 1, 1)","(0, 0, 1)",0,1,1,2,011_1,001_2,1.4130642866382097,0.3720836162436255,-1.040980670394584,-0.957090108101998
"(0, 1, 1)","(0, 1, 0)",1,0,1,1,011_1,010_1,1.4130642866382097,0.6970606098301637,0.283996323191954,0.40663834800578225
"(0, 1, 1)","(0, 0, 0)",1,1,1,2,011_1,000_2,1.4130642866382097,0.10514160279015194,-0.30792268384805777,-0.20259245186380348
"(0, 1, 1)","(0, 1, 1)",0,0,1,1,011_1,011_1,1.4130642866382097,1.4130642866382097,0.0,0.11433601427355944
"(1, 0, 0)","(0, 1, 0)",0,0,1,1,100_1,010_1,0.5365059395025369,0.6970606098301637,0.16055467032762682,0.013195782038024184
"(1, 0, 0)","(0, 0, 0)",0,1,1,2,100_1,000_2,0.5365059395025369,0.10514160279015194,-0.43136433671238494,-1.0
"(1, 0, 0)","(0, 0, 1)",0,0,1,1,100_1,001_1,0.5365059395025369,0.9719785520382295,0.4354726125356926,0.4837765475462972
"(1, 0, 0)","(0, 0, 0)",1,0,1,1,100_1,000_1,0.5365059395025369,0.27356140384652405,0.7370554643439872,1.0
"(1, 0, 0)","(1, 0, 0)",0,0,1,1,100_1,100_1,0.5365059395025369,0.5365059395025369,0.0,-0.26162782191402933
"(1, 0, 1)","(0, 1, 1)",0,0,1,1,101_1,011_1,1.1892578655390464,1.4130642866382097,0.22380642109916327,0.24304035443909044
"(1, 0, 1)","(0, 1, 0)",1,0,1,1,101_1,010_1,1.1892578655390464,0.6970606098301637,0.5078027442911173,0.49286542862576055
"(1, 0, 1)","(1, 0, 0)",1,0,1,1,101_1,100_1,1.1892578655390464,0.5365059395025369,0.34724807396349044,0.35162915494870717
"(1, 0, 1)","(0, 1, 0)",0,1,1,2,101_1,010_2,1.1892578655390464,0.33039304411579395,-0.8588648214232525,-0.7093607909099631
"(1, 0, 1)","(0, 0, 1)",0,1,1,2,101_1,001_2,1.1892578655390464,0.3720836162436255,-0.8171742492954209,-0.6726865475336483
"(1, 0, 1)","(0, 0, 1)",1,0,1,1,101_1,001_1,1.1892578655390464,0.9719785520382295,0.782720686499183,0.7347044585661404
"(1, 0, 1)","(1, 0, 0)",0,1,1,2,101_1,100_2,1.1892578655390464,0.23259963183813465,-0.9566582337009117,-0.7953874204192497
"(1, 0, 1)","(0, 0, 0)",1,1,1,2,101_1,000_2,1.1892578655390464,0.10514160279015194,-0.0841162627488945,-0.027832192330131567
"(1, 0, 1)","(0, 0, 0)",2,0,1,1,101_1,000_1,1.1892578655390464,0.27356140384652405,1.0843035383074775,1.0
"(1, 0, 1)","(0, 0, 0)",0,2,1,3,101_1,000_3,1.1892578655390464,0.0,-1.1892578655390464,-1.0
"(1, 0, 1)","(1, 0, 1)",0,0,1,1,101_1,101_1,1.1892578655390464,1.1892578655390464,0.0,0.046162961358334975
"(1, 1, 0)","(0, 1, 1)",0,0,1,1,110_1,011_1,0.9310801971130783,1.4130642866382097,0.4819840895251314,0.24304035443909044
"(1, 1, 0)","(1, 0, 1)",0,0,1,1,110_1,101_1,0.9310801971130783,1.1892578655390464,0.2581776684259681,0.046162961358334975
"(1, 1, 0)","(1, 0, 0)",0,1,1,2,110_1,100_2,0.9310801971130783,0.23259963183813465,-0.6984805652749437,-0.7953874204192497
"(1, 1, 0)","(0, 1, 0)",0,1,1,2,110_1,010_2,0.9310801971130783,0.33039304411579395,-0.6006871529972844,-0.7093607909099631
"(1, 1, 0)","(0, 0, 1)",0,1,1,2,110_1,001_2,0.9310801971130783,0.3720836162436255,-0.5589965808694528,-0.6726865475336483
"(1, 1, 0)","(0, 1, 0)",1,0,1,1,110_1,010_1,0.9310801971130783,0.6970606098301637,0.7659804127170854,0.49286542862576055
"(1, 1, 0)","(0, 0, 1)",1,0,1,1,110_1,001_1,0.9310801971130783,0.9719785520382295,1.0408983549251511,0.7347044585661404
"(1, 1, 0)","(0, 0, 0)",0,2,1,3,110_1,000_3,0.9310801971130783,0.0,-0.9310801971130783,-1.0
"(1, 1, 0)","(0, 0, 0)",2,0,1,1,110_1,000_1,0.9310801971130783,0.27356140384652405,1.3424812067334457,1.0
"(1, 1, 0)","(0, 0, 0)",1,1,1,2,110_1,000_2,0.9310801971130783,0.10514160279015194,0.17406140567707362,-0.027832192330131567
